box_number,box_code,box_name,eligible_voters,valid_votes,invalid_votes,total_votes,male_voted,female_voted,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,verified
A01,A01.01.1,1 | Ha. Thuraakunu - 1,361,288,9,297,150,147,1,0,140,146,0,1,0,0,1
A01,A01.02.1,2 | Ha. Uligamu - 1,291,207,3,210,110,100,2,0,86,113,3,0,3,0,1
A01,A01.04.1,4 | Ha. Hoarafushi - 1,517,420,20,440,211,229,10,1,240,158,6,1,4,0,1
A01,A01.04.2,5 | Ha. Hoarafushi - 2,464,372,9,381,192,189,5,0,171,180,6,0,8,2,1
A01,A01.04.3,6 | Ha. Hoarafushi - 3,402,317,5,322,164,158,2,2,158,148,1,0,6,0,1
A02,A02.03.1,3 | Ha. Molhadhoo - 1,206,179,11,190,84,106,1,0,132,39,4,0,3,0,1
A02,A02.05.1,7 | Ha. Ihavandhoo - 1,664,581,12,593,261,332,14,0,273,273,1,1,15,4,1
A02,A02.05.2,8 | Ha. Ihavandhoo - 2,619,552,7,559,250,309,11,0,219,288,4,0,26,4,1
A02,A02.05.3,9 | Ha. Ihavandhoo - 3,534,462,11,473,217,256,4,2,241,182,0,0,32,1,0
A02,A02.10.1,18 | Ha. Maarandhoo - 1,466,394,3,397,190,207,3,0,195,159,2,0,5,30,1
A03,A03.11.1,19 | Ha. Thakandhoo - 1,263,223,3,226,113,113,2,0,88,83,0,0,50,0,1
A03,A03.12.1,20 | Ha. Utheemu - 1,487,425,2,427,193,234,12,1,191,213,2,0,6,0,1
A03,A03.13.1,21 | Ha. Muraidhoo - 1,385,340,5,345,148,197,0,0,153,159,0,1,27,0,1
A03,A03.14.1,22 | Ha. Baarah - 1,408,315,18,333,152,181,2,0,151,146,3,1,12,0,1
A03,A03.14.2,23 | Ha. Baarah - 2,412,346,2,348,147,201,4,1,169,152,1,1,11,7,1
A04,A04.08.1,13 | Ha. Dhidhdhoo - 1,437,368,3,371,175,196,4,0,165,160,6,2,31,0,1
A04,A04.08.2,14 | Ha. Dhidhdhoo - 2,498,422,5,427,178,249,7,0,151,230,11,0,22,1,1
A04,A04.08.3,15 |Ha. Dhidhdhoo - 3,610,480,18,498,208,290,3,0,191,192,10,1,83,0,1
A04,A04.08.4,16 | Ha. Dhidhdhoo - 4,590,474,20,494,234,260,11,0,185,209,4,3,58,4,1
A05,A05.06.1,10 |Ha. Kelaa - 1,419,291,26,317,144,173,5,1,113,154,6,0,12,0,1
A05,A05.06.2,11 | Ha. Kelaa - 2,325,238,5,243,125,118,6,1,100,123,4,0,3,1,1
A05,A05.07.1,12 | Ha. Vashafaru - 1,432,369,5,374,175,199,1,0,125,228,6,0,9,0,1
A05,A05.09.1,17 | Ha. Filladhoo - 1,443,357,6,363,177,186,1,0,153,190,2,1,10,0,1
AT.,AT.1.1,"492  | HA. Atoll, Male' - 1",853,731,4,735,347,388,7,0,277,375,34,8,28,2,1
AT.,AT.1.2,"493 | HA. Atoll, Male' - 2",822,686,11,697,376,321,42,0,257,346,3,5,26,7,1
AT.,AT.3.1,"495 | HA. Atoll, Male' - 4",426,374,2,376,178,198,12,0,121,181,4,3,51,2,1
AT.,AT.3.2,"496 | HA. Atoll, Male' - 5",587,499,4,503,264,239,19,0,153,286,4,0,29,8,1
AT.,AT.4.1,"497 | HA. Atoll, Male' - 6",631,536,8,544,300,244,26,1,166,282,4,6,46,5,1
AT.,AT.5.1,"498 | HA. Atoll, Male' - 7",700,577,6,583,304,279,31,1,206,288,4,13,34,0,1
AT.,AT.5.2,"499 | HA. Atoll, Male' - 8",439,347,1,348,166,182,5,0,89,208,7,10,27,1,1
B01,B01.01.1,24 | Hdh. Hanimaadhoo - 1,772,588,18,606,289,317,13,1,303,188,51,1,26,5,1
B01,B01.01.2,25 | Hdh. Hanimaadhoo - 2,576,454,29,483,235,248,17,1,231,160,29,5,4,7,1
B01,B01.02.1,26 | Hdh. Finey - 1,284,252,10,262,109,153,10,0,136,91,10,1,1,3,1
B01,B01.03.1,27 | Hdh. Naivaadhoo - 1,356,307,9,316,135,181,2,0,155,142,3,3,2,0,1
B01,B01.04.1,28 | Hdh. Hirimaradhoo - 1,292,225,3,228,100,128,0,0,85,119,12,4,5,0,1
B02,B02.05.1,29 | Hdh. Nolhivaranfaru - 1,512,360,16,376,147,229,5,2,157,164,11,4,2,15,1
B02,B02.05.2,30| Hdh. Nolhivaranfaru - 2,420,324,3,327,143,184,3,0,131,170,5,0,4,11,1
B02,B02.07.1,32 | Hdh. Nolhivaramu -1,689,446,17,463,198,265,21,0,113,284,7,6,12,3,1
B02,B02.07.2,33 | Hdh. Nolhivaramu - 2,758,503,10,513,201,312,16,1,167,248,10,14,43,4,1
B03,B03.06.1,31 | Hdh. Nellaidhoo - 1,729,545,57,602,279,323,21,1,274,193,15,1,34,6,1
B03,B03.08.1,34 | Hdh. Kurinbi  -1,431,349,4,353,154,199,16,0,163,167,0,0,3,0,1
B03,B03.12.1,46 | Hdh. Vaikaradhoo - 1,361,269,5,274,130,144,7,1,184,64,1,1,10,1,1
B03,B03.12.2,47 | Hdh. Vaikaradhoo - 2,222,137,13,150,73,77,2,0,91,40,2,0,2,0,1
B04,B04.09.1,35 | Hdh. Kulhudhuffushi - 1,775,514,16,530,251,279,55,4,182,217,12,5,34,5,1
B04,B04.09.2,36 | Hdh. Kulhudhuffushi - 2,876,637,9,646,285,361,75,0,189,320,3,11,35,4,1
